Call Start Time,Duration,,,,,,,,,,,,,,,,,,
12/18/2021 6:05:25 PM -08:00,00:18:51,,,,,,,,,,,,,,,,,,
12/18/2021 5:30:55 PM -08:00,00:16:11,,,,,,,,,,,,,,,,,,
12/18/2021 5:22:53 PM -08:00,00:00:16,,,,,,,,,,,,,,,,,,
12/18/2021 5:20:31 PM -08:00,00:00:29,,,,,,,,,,,,,,,,,,
12/18/2021 5:03:25 PM -08:00,00:00:20,,,,,,,,,,,,,,,,,,
12/18/2021 4:17:04 PM -08:00,00:00:35,,,,,,,,,,,,,,,,,,
12/18/2021 4:05:35 PM -08:00,00:00:30,,,,,,,,,,,,,,,,,,
12/18/2021 4:02:41 PM -08:00,00:01:45,,,,,,,,,,,,,,,,,,
12/18/2021 4:00:08 PM -08:00,00:00:51,,,,,,,,,,,,,,,,,,
12/18/2021 3:56:21 PM -08:00,00:01:45,,,,,,,,,,,,,,,,,,
12/18/2021 3:52:50 PM -08:00,00:43:31,,,,,,,,,,,,,,,,,,
12/18/2021 3:47:20 PM -08:00,00:01:55,,,,,,,,,,,,,,,,,,
12/18/2021 3:46:42 PM -08:00,00:00:18,,,,,,,,,,,,,,,,,,
12/18/2021 3:45:09 PM -08:00,00:00:21,,,,,,,,,,,,,,,,,,
12/18/2021 3:41:04 PM -08:00,00:00:37,,,,,,,,,,,,,,,,,,
12/18/2021 3:38:06 PM -08:00,00:00:28,,,,,,,,,,,,,,,,,,
12/18/2021 3:35:56 PM -08:00,00:04:58,,,,,,,,,,,,,,,,,,
12/18/2021 3:22:36 PM -08:00,00:10:34,,,,,,,,,,,,,,,,,,
12/18/2021 3:17:38 PM -08:00,00:02:18,,,,,,,,,,,,,,,,,,
12/18/2021 3:15:48 PM -08:00,00:00:35,,,,,,,,,,,,,,,,,,
12/18/2021 3:11:02 PM -08:00,00:00:26,,,,,,,,,,,,,,,,,,
12/18/2021 3:04:16 PM -08:00,00:01:30,,,,,,,,,,,,,,,,,,
12/18/2021 3:00:46 PM -08:00,00:00:20,,,,,,,,,,,,,,,,,,
12/18/2021 2:57:39 PM -08:00,00:00:44,,,,,,,,,,,,,,,,,,
12/18/2021 2:49:47 PM -08:00,00:01:33,,,,,,,,,,,,,,,,,,
12/18/2021 2:46:43 PM -08:00,00:25:35,,,,,,,,,,,,,,,,,,
12/18/2021 2:35:57 PM -08:00,00:00:56,,,,,,,,,,,,,,,,,,
12/18/2021 2:32:54 PM -08:00,00:10:06,,,,,,,,,,,,,,,,,,
12/18/2021 2:19:07 PM -08:00,00:05:49,,,,,,,,,,,,,,,,,,
12/18/2021 2:09:00 PM -08:00,00:02:45,,,,,,,,,,,,,,,,,,
12/18/2021 2:04:53 PM -08:00,00:00:33,,,,,,,,,,,,,,,,,,
